trade_date,Closed PnL,classification,Execution Price,Side,leverage
2025-04-03,27223.7415,Fear,16.72,Buy,1.0000000000000002
2025-04-03,4665.14364,Fear,16.25,Buy,1.0
2025-04-03,8136.5,Fear,16.25,Buy,1.0
2025-04-03,5933.217165,Fear,16.25,Buy,0.999999789023527
2025-04-03,453.935335,Fear,16.25,Buy,1.0000027575937238
2025-04-03,2737.28133,Fear,16.25,Buy,0.9999990853923438
2025-04-03,68.265235,Fear,16.25,Buy,1.0000183368478959
2025-04-03,38.24155,Fear,16.25,Buy,1.0000654664484452
2025-04-03,51.341315,Fear,16.25,Buy,1.000024381323906
2025-04-03,186.732675,Fear,16.25,Buy,1.0000067035361153
2025-04-03,40.19431,Fear,16.25,Buy,1.0000622858922454
2025-04-03,158.905845,Fear,16.25,Buy,0.9999921225727677
2025-04-03,14.80843,Fear,16.25,Buy,0.9998309382924768
2025-04-03,1220.475,Fear,16.25,Buy,1.0
2025-04-03,15.866175,Fear,16.25,Buy,1.000078895463511
2025-04-03,21029.842,Fear,16.25,Buy,1.0000000595234728
2025-04-03,-1298.8288,Fear,0.521,Buy,1.0000005485526713
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-795.3888,Fear,0.521,Buy,0.9999997760604601
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-251.024,Fear,0.521,Buy,1.0000035478480527
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.7168,Fear,0.521,Buy,1.0000080309029142
2025-04-03,-169.824,Fear,0.521,Buy,0.9999999999999999
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
2025-04-03,-88.4384,Fear,0.521,Buy,0.9999939578621304
